Word;Occurences;Themes
wanting;1430;passion love
eight;1429;
romance;1429;love happiness hope
theres;1429;
begging;1428;
ourselves;1427;confidence
thin;1427;
nature;1426;
join;1425;
list;1425;
master;1423;confidence
cries;1422;pain sadness
funky;1421;happiness passion
liar;1420;pain sadness
yall;1419;
hush;1416;anger
bell;1414;
pump;1412;
wrist;1411;
raised;1410;hope
breeze;1408;serenity
ease;1407;confidence serenity
blowin;1406;pain anger
beef;1401;
louder;1398;
monster;1397;sadness pain fear
torn;1397;pain
company;1395;happiness
lifetime;1394;hope
food;1392;happiness passion
moonlight;1391;passion
dime;1388;
grass;1387;
church;1386;hope
thick;1386;confusion
boyfriend;1385;love passion
ugly;1384;pain anger madness
windows;1382;hope
page;1381;
motion;1380;
thru;1380;
wearing;1379;
bitter;1378;pain anger madness
album;1376;
blast;1375;pain confusion
swim;1375;confusion passion
remain;1372;
truck;1372;
common;1371;
veins;1371;
daughter;1365;love serenity
homies;1364;happiness love
london;1363;passion
mystery;1362;love confusion
beast;1361;fear
course;1360;
rappers;1360;passion
hotel;1358;passion
joke;1358;happiness
gift;1356;love
brave;1354;confidence
wrapped;1351;
jail;1346;pain
stopped;1346;
watched;1344;
answers;1342;
precious;1341;love
melody;1340;passion love
happening;1339;
limit;1339;
situation;1339;
wrap;1339;
honest;1336;confidence
horse;1335;
johnny;1335;
system;1335;
desert;1333;
grand;1330;
faded;1329;confusion
proof;1327;
sees;1325;confidence
bags;1324;
cruel;1322;sadness pain
grew;1319;hope
moved;1319;confusion
holdin;1317;
papa;1317;
anytime;1316;
punk;1313;
benz;1310;
kissing;1310;love passion
souls;1310;
hips;1309;passion
mike;1306;
endless;1304;fear sadness
pulling;1303;confusion pain
sail;1302;hope
serious;1302;confidence
ears;1301;
promised;1301;hope
bear;1300;confidence
bringing;1299;
dogs;1298;passion
cherry;1297;passion
barely;1296;
hangin;1296;serenity happiness
kitchen;1296;
mornin;1295;
runs;1295;
bury;1294;pain sadness
lied;1293;confusion
mood;1293;
guilty;1289;pain sadness
chicks;1286;passion
finish;1286;happiness pain
nation;1286;confidence
circle;1285;
flesh;1285;passion
michael;1283;
folks;1282;
swag;1282;
wheels;1282;
reaching;1281;confidence
goodnight;1280;happiness
spark;1280;hope
flash;1278;
grip;1276;fear
headed;1274;confidence
liquor;1274;passion
pure;1273;hope
force;1269;confidence
shady;1269;confusion
blows;1268;pain
haha;1268; happiness
shooting;1268;passion pain
outro;1266;
underground;1266;confusion
bless;1265;
roses;1264;love passion
stayed;1263;
bodies;1262;passion confusion
breakin;1262;pain
begins;1260;hope
impossible;1260;confusion pain
lightning;1259;hope
miracle;1259;happiness hope
expect;1257;sadness
burnin;1255;confusion pain passion
ceiling;1254;
shop;1254;
pushing;1253;
hallelujah;1251;serenity hope
counting;1249;
guide;1249;serenity
release;1248;happiness hope
thanks;1246;serenity
wise;1246;confidence
settle;1242;
forgotten;1240;confidence sadness
singin;1239;happiness passion
sippin;1239;serenity
cream;1238;happiness
mission;1236;confidence
thinks;1236;love
refr;1235;
tells;1235;
thrill;1235;passion
youth;1234;hope
throwing;1233;
shakin;1231;confusion
touched;1231;love passion
comfort;1230;serenity
spoken;1230;confidence
blew;1229;pain
halo;1227;hope
revolution;1227;hope
player;1226;passion
match;1225;confidence
began;1224;hope
steel;1224;
direction;1223;hope
disguise;1220;happiness passion
heels;1220;
drowning;1218;pain
